ax,ay,az,gyro_x,gyro_y,gyro_z,label
-0.02294922,0.00830078,0.99853516,0.,0.,0.,-1
-0.02294922,0.00830078,0.99853516,0.,0.,0.,-1
-0.02490234,0.00732422,1.00048828,-0.06103516,-0.06103516,0.,-1
-0.02490234,0.00732422,1.00048828,-0.06103516,-0.06103516,0.,-1
-0.02050781,0.00927734,0.99902344,-0.12207031,0.,0.,-1
-0.02050781,0.00927734,0.99902344,-0.12207031,0.,0.,-1
-0.02392578,0.0078125,0.99951172,0.,0.,0.,-1
-0.02392578,0.0078125,0.99951172,0.,0.,0.,-1
-0.02197266,0.00830078,0.99951172,0.06103516,0.,0.,-1
-0.02197266,0.00830078,0.99951172,0.06103516,0.,0.,-1
-0.02246094,0.00732422,1.,0.,0.,0.,-1
-0.02246094,0.00732422,1.,0.,0.,0.,-1
-0.0234375,0.0078125,0.99951172,0.,0.,0.,-1
-0.0234375,0.0078125,0.99951172,0.,0.,0.,-1
-0.02246094,0.00830078,0.99951172,-0.06103516,0.,0.,-1
-0.02246094,0.00830078,0.99951172,-0.06103516,0.,0.,-1
-0.02392578,0.0078125,0.99951172,0.,0.,0.,-1
-0.02392578,0.0078125,0.99951172,0.,0.,0.,-1
-0.02197266,0.00830078,0.99902344,0.,0.,0.,-1
-0.02197266,0.00830078,0.99902344,0.,0.,0.,-1
-0.02246094,0.00878906,0.99853516,0.,0.,0.,-1
-0.02246094,0.00878906,0.99853516,0.,0.,0.,-1
-0.02294922,0.0078125,0.99902344,0.,0.,0.,-1
-0.02294922,0.0078125,0.99902344,0.,0.,0.,-1
-0.02246094,0.00830078,0.99853516,0.,-0.06103516,0.,-1
-0.02246094,0.00830078,0.99853516,0.,-0.06103516,0.,-1
-0.02294922,0.00830078,0.99902344,0.,0.,0.,-1
-0.02294922,0.00830078,0.99902344,0.,0.,0.,-1
-0.02246094,0.00830078,0.99902344,0.06103516,0.,0.,-1
-0.02246094,0.00830078,0.99902344,0.06103516,0.,0.,-1
-0.02246094,0.0078125,0.99902344,0.,0.,0.,-1
-0.02246094,0.0078125,0.99902344,0.,0.,0.,-1
-0.02294922,0.0078125,1.,0.,0.,0.,-1
-0.02294922,0.0078125,1.,0.,0.,0.,-1
-0.02294922,0.00830078,0.99902344,0.,0.,0.,-1
-0.02294922,0.00830078,0.99902344,0.,0.,0.,-1
-0.0234375,0.0078125,0.99951172,0.,0.,0.,-1
-0.0234375,0.0078125,0.99951172,0.,0.,0.,-1
-0.02294922,0.00878906,0.99951172,0.,0.,0.,-1
-0.02294922,0.00878906,0.99951172,0.,0.,0.,-1
-0.02294922,0.00732422,1.,0.,0.,0.,-1
-0.02294922,0.00732422,1.,0.,0.,0.,-1
-0.02197266,0.0078125,0.99853516,0.,0.,0.,-1
-0.02197266,0.0078125,0.99853516,0.,0.,0.,-1
-0.02294922,0.0078125,0.99951172,0.,0.,0.,-1
-0.02294922,0.0078125,0.99951172,0.,0.,0.,-1
